,Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC Value / M,SMILES_y
0,1,288.3,SODIUM DODECYL 1 SULFATE,,25.0,0.0063475546305931324,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
1,2,232.2,SODIUM OCTYL 1 SULFATE,,25.0,0.07,CCCCC(CC)COS(=O)(=O)[O-].[Na+]
2,3,260.3,SODIUM DECYL 1 SULFATE,,25.0,0.031,CCCCCCCCCCOS(=O)(=O)[O-].[Na+]
3,4,316.4,SODIUM TETRADECYL 1 SULFATE,,25.0,0.0014,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
4,5,344.4,SODIUM HEXADECYL 1 SULFATE,,25.0,0.00021,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
5,15,260.3,SODIUM DECYL 2 SULFATE,,25.0,0.0456,CCCCCCCCCCOS(=O)(=O)[O-].[Na+]
6,16,316.4,SODIUM TETRADECYL 2 SULFATE,,25.0,0.00327,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
7,17,316.4,SODIUM TETRADECYL 4 SULFATE,,25.0,0.00512,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
8,19,320.4,DECYL BETA D GLUCOSIDE,,25.0,0.0022,CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
9,20,348.5,DODECYL BETA D GLUCOSIDE,,25.0,0.00019,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
10,21,229.4,DIMETHYL DODECYL AMINE OXIDE,,25.0,0.002,CCCCCCCCCCCC[N+](C)(C)[O-]
11,37,193.7,DECYLAMMONIUM CHLORIDE,,25.0,0.04,CCCCCCCCCCN.Cl
12,38,221.8,DODECYL AMMONIUM CHLORIDE,,25.0,0.0143,CCCCCCCCCCCCN.Cl
13,39,249.9,TETRADECYL AMMONIUM CHLORIDE,,25.0,0.0028,CCCCCCCCCCCCN(C)C.Cl
14,40,288.4,POTASSIUM DODECYL 1 SULFONATE,,25.0,0.009,CCCCCCCCCCCCS(=O)(=O)[O-].[K+]
15,41,263.9,DODECYL TRIMETHYL AMMONIUM CHLORIDE,,25.0,0.0172,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
16,42,292.0,TETRADECYL TRIMETHYL AMMONIUM CHLORIDE,,25.0,0.003,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
17,43,88.1,BUTYRIC ACID,,25.0,139.61407491486946,CC(C)C(=O)O
18,44,182.3,POTASSIUM OCTANOATE,,25.0,0.47,CCCCCCCC(=O)[O-].[K+]
19,49,292.3,SODIUM P OCTYL BENZENE SULFONATE,,25.0,3.4200885525630635e-06,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
20,52,388.5,SODIUM HEXADECYL MONO OXYETHYLENE SULFATE,,25.0,0.00022,CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+]
21,53,432.6,SODIUM HEXADECYL DI OXYETHYLENE SULFATE,,25.0,0.00014,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
22,54,476.6,SODIUM HEXADECYL TRI OXYETHYLENE SULFATE,,25.0,0.0001,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
23,55,520.7,SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE,,25.0,8e-05,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
24,56,416.6,SODIUM OCTADECYL MONO OXYETHYLENE SULFATE,,25.0,0.00011,CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
25,57,460.6,SODIUM OCTADECYL DI OXYETHYLENE SULFATE,,25.0,7e-05,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
26,58,504.7,SODIUM OCTADECYL TRI OXYETHYLENE SULFATE,,25.0,5e-05,CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+]
27,59,548.7,SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE,,25.0,4e-05,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
28,61,370.5,SODIUM OLEYL/CIS 9 OCTADECENOYL/ SULFATE,,25.0,0.0003,CCCCCCCCC=CCCCCCCCCOS(=O)(=O)[O-].[Na+]
29,63,441.4,SODIUM 9 10 DICHLORO OCTADECYL SULFATE,,25.0,0.00031,CCCCCCCCC(C(CCCCCCCCOS(=O)(=O)[O-])Cl)Cl.[Na+]
30,90,210.3,POTASSIUM DECANOATE,,25.0,0.099,CCCCCCCCCC(=O)[O-].[K+]
31,91,238.4,POTASSIUM DODECANOATE,,25.0,3.775167785234899,CCCCCCCCCCCC(=O)[O-].[K+]
32,92,266.5,POTASSIUM TETRADECANOATE,,25.0,0.0063,CCCCCCCCCCCCCC(=O)[O-].[K+]
33,93,252.2,OCTYL TRIMETHYL AMMONIUM BROMIDE,,25.0,0.14,CCCCCCCC[N+](C)(C)C.[Br-]
34,97,308.4,DODECYL TRIMETHYL AMMONIUM BROMIDE,,25.0,0.014526588845654996,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
35,99,364.5,HEXADECYL TRIMETHYLAMMONIUM BROMIDE,,25.0,0.0008,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
36,102,356.4,TETRADECYL PYRIDINIUM BROMIDE,,25.0,0.0029,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-]
37,103,234.3,HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.1,CCCOCC(C)OCC(C)OCC(C)O
38,104,262.4,OCTYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0075,CCCCOCCOCCOCCOCCCC
39,105,394.6,OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0099,CCCCCCCCOCCOCCOCCOCCOCCOCCO
40,106,526.7,OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.013,CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O
41,107,290.4,DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0006,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
42,108,422.6,DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0009,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO
43,109,554.8,DECYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0013,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
45,111,272.3,LITHIUM DODECYL 1 SULFATE,,25.0,0.0079,[Li+].CCCCCCCCCCCCOS(=O)(=O)[O-]
46,138,306.3,SODIUM NONYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0157,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO
48,140,320.4,SODIUM DECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0041,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
49,141,362.4,SODIUM TRIDECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0013,CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
50,142,390.5,SODIUM PENTADECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.00044,CCCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
51,143,378.6,"DECYL /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.001664025356576862,CCCCCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+]
52,144,598.9,"DECYL /OXYETHYLENE/ 10.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.0026715645349807983,CCCCCCCCCCOCCOCCOCCOCCOCCO
53,153,440.6,"NONYL BENZENE /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,5.6740807989105766e-05,CCCCCCCCCCCC(=O)O.CCCCC(CC)C(=O)O.C(C(CO)(CO)COCC(CO)(CO)CO)O
54,156,1101.5,"NONYL BENZENE /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,9.078529278256923e-05,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C
